source,advertiser,ad_text,cta,days_running,spend_low,spend_high,pain_point,platform,reach,ctr
meta,CollegeVine,"See your real chances at 1,500+ colleges — for free. Our AI uses 100M+ data points to show exactly where you stand. No guessing, just data.",Check My Chances,320,5000,20000,uncertainty about admission chances,"Facebook, Instagram",,
tiktok,CollegeVine,I got rejected from 8 colleges before I found this tool. It shows your REAL admission percentage. 100% free.,Check Chances Free,310,,,rejection fear + uncertainty,TikTok,7100000.0,4.8
meta,CollegeVine,The average high school student gets 38 minutes of college counseling. Get unlimited AI guidance — free.,Start Free,280,3000,12000,lack of access to counseling,"Facebook, Instagram",,
tiktok,Study Abroad Guide,US college application checklist nobody shares with international students. Save this before August 1st ⏰,See Checklist,244,,,deadline panic / missing information,TikTok,5600000.0,6.3
meta,Leverage Edu,"Dream of studying in the USA? Our expert counselors have helped 10,000+ students get into top universities. FREE profile evaluation — find out your chances today.",Get Free Evaluation,210,1000,5000,uncertainty / fear of rejection,"Facebook, Instagram",,
tiktok,Leverage Edu,POV: You got into your dream US university from Nigeria 🇳🇬 Here's exactly how I did it with zero local guidance…,Learn More,201,,,no local guidance for international students,TikTok,3100000.0,4.1
meta,CollegeVine,"Why pay $300/hr for a college counselor when AI does it better? CollegeVine is free and used by 150,000+ students.",Try Free,195,2000,8000,cost of counseling,"Facebook, Instagram",,
meta,Leverage Edu,Your parents worked hard for this moment. Don't let a poor application ruin your chances. Expert counselors — scholarship available.,Book Free Call,180,2000,8000,family pressure / cost of failure,"Facebook, Instagram",,
tiktok,ApplyBoard,Your dream school said YES. Here's the step-by-step process that got 1 million students accepted. Free for international students.,Apply Free,175,,,not knowing the process,TikTok,4200000.0,2.9
meta,Edvoy,"75,000+ courses. 750+ universities. 15+ countries. Your dream study abroad journey starts with one free counselling session.",Book Free Session,160,500,3000,overwhelming choice / where to start,"Facebook, Instagram",,
tiktok,Leverage Edu,Indian student got into MIT with our roadmap. Stop paying $500/hr consultants. We charge ₹0 — here's why.,Get Free Roadmap,156,,,expensive consultants / cost barrier,TikTok,2400000.0,3.2
meta,Leverage Edu,"Stop guessing. Start knowing. Our AI matches you with universities where YOU have the best chance. Used by 1M+ students from India, Nigeria, Vietnam.",Find My University,145,500,2000,information asymmetry / not knowing where to apply,"Facebook, Instagram",,
meta,Edvoy,"From shortlisting to visa — we handle everything. 100,000+ students trusted Edvoy. Don't navigate study abroad alone.",Start Free,140,300,2000,complexity of full process,"Facebook, Instagram",,
tiktok,Admissions Coach,Pakistan student: 'I didn't know what the Common App was until 3 weeks before the deadline.' Don't be me. Start here 👇,Start Now,132,,,process ignorance / too late,TikTok,2900000.0,7.1
meta,Leverage Edu,"Confused about SAT scores, deadlines, and financial aid? So was I — until Leverage Edu gave me a step-by-step plan. Free for international students.",Get My Free Plan,130,500,2000,process confusion / overwhelm,"Facebook, Instagram",,
meta,Crimson Education,Our students received 48 Ivy League offers in Early Decision 2024. The right mentor changes everything. Book a free strategy session.,Book Strategy Session,120,10000,50000,wanting elite outcomes / social proof,"Facebook, Instagram",,
tiktok,Edvoy,"Pakistani student: 'I applied to 6 UK universities in one afternoon using Edvoy.' No agents, no fees, no stress 🇬🇧",Apply Free,118,,,process complexity / agent dependency,TikTok,1900000.0,3.8
tiktok,US College Prep,"I spent $8,000 on a college consultant and STILL got rejected. Here's what I wish I knew earlier — free resource below.",Get Free Resource,98,,,wasted money / expensive and ineffective,TikTok,3400000.0,5.2
meta,Crimson Education,"What separates Ivy League admits from rejections? It's not just grades — it's strategy. Our mentors went to Harvard, Yale, Oxford. They know what works.",Learn More,95,8000,30000,not knowing what makes applications stand out,"Facebook, Instagram",,
meta,UniRank,"Find and compare ranked universities in 200 countries. Free university search — no counsellor, no pressure.",Search Universities,90,200,1000,not knowing which universities are credible,Facebook,,
tiktok,Study Abroad Creator,Things nobody tells you about applying to US colleges as an international student 👇 #studyabroad #collegeapplication,Download Free Guide,88,,,hidden information / process opacity,TikTok,1800000.0,5.7
tiktok,UniChances,Type in your grades → See your real acceptance chances at 500+ universities. Takes 2 minutes. Free forever.,Check Now,83,,,not knowing chances of getting in,TikTok,1200000.0,5.1
tiktok,StudentHub Study Abroad,"Connect with students already studying in your dream country. Real answers, not sales pitches. Free peer community for international students.",Join Community,72,,,lack of peer network / no one honest to ask,TikTok,850000.0,4.2
meta,AskUni,"Ask any university question and get answers from students who actually go there. No agents, no marketing — just honest advice.",Ask Now,61,50,400,untrustworthy information / no honest source,Facebook,,
meta,Unica Study Abroad,"Get matched with the right university based on your actual grades and budget. No guessing, no bias. AI-powered matching.",Get Matched Free,55,100,800,uncertainty about fit / mismatched expectations,"Facebook, Instagram",,
meta,Edukas,"Apply to UK universities with expert counsellors who actually answer your questions. Scholarship alerts, real-time tracking, direct university reps.",Download App,45,100,500,lack of responsive guidance,Facebook,,
