competitor,keyword,channel,days_running,spend_tier,pain_point
CollegeVine,AI college admissions,meta,195,high,cost_barrier
Leverage Edu,AI college matching,meta,145,medium,information_asymmetry
Leverage Edu,African student US university,tiktok,201,high,zero_local_guidance
CollegeVine,CollegeVine,meta,320,high,uncertainty about admission chances
Admissions Coach,Common App international,tiktok,132,medium,process_ignorance
Crimson Education,Harvard application help,meta,120,very_high,wanting_elite_outcomes
Crimson Education,Ivy League admissions,meta,120,very_high,wanting_elite_outcomes
Leverage Edu,Nigerian student USA,tiktok,201,high,zero_local_guidance
Leverage Edu,US college admissions help,meta,210,high,uncertainty
Study Abroad Guide,US college deadlines,tiktok,244,medium,missing_deadlines
Leverage Edu,US university my child,meta,180,high,family_pressure
UniChances,acceptance rate calculator,tiktok,83,low,uncertainty_chances
Leverage Edu,affordable college counseling,tiktok,156,high,cost_barrier
CollegeVine,affordable college help,meta,280,high,lack_of_access
Edvoy,apply university abroad,tiktok,118,medium,agent_dependency
UniChances,chance me,tiktok,83,low,uncertainty_chances
CollegeVine,chance me college,meta,320,high,uncertainty about admission chances
CollegeVine,college acceptance chances,meta,320,high,uncertainty about admission chances
CollegeVine,college admissions AI,meta,320,high,uncertainty about admission chances
CollegeVine,college admissions tips,tiktok,310,high,fear_of_rejection
Study Abroad Guide,college application checklist,tiktok,244,medium,missing_deadlines
CollegeVine,college application help,tiktok,310,high,fear_of_rejection
Admissions Coach,college application mistakes,tiktok,132,medium,process_ignorance
Leverage Edu,college application parents,meta,180,high,family_pressure
UniChances,college chances calculator,tiktok,83,low,uncertainty_chances
Leverage Edu,college consultant price,tiktok,156,high,cost_barrier
CollegeVine,college counselor cost,meta,280,high,lack_of_access
CollegeVine,college counselor price,meta,195,high,cost_barrier
Leverage Edu,college list international,meta,145,medium,information_asymmetry
CollegeVine,college rejection,tiktok,310,high,fear_of_rejection
Crimson Education,elite college counseling,meta,120,very_high,wanting_elite_outcomes
CollegeVine,free college guidance,meta,280,high,lack_of_access
Leverage Edu,free college guidance India,tiktok,156,high,cost_barrier
AskUni,honest college advice,meta,61,low,distrust_agents
CollegeVine,how much college counselor,meta,195,high,cost_barrier
ApplyBoard,how to get accepted US university,tiktok,175,high,not_knowing_process
ApplyBoard,international student accepted USA,tiktok,175,high,not_knowing_process
Study Abroad Guide,international student deadlines,tiktok,244,medium,missing_deadlines
AskUni,no agent college help,meta,61,low,distrust_agents
Edvoy,no agent study abroad,tiktok,118,medium,agent_dependency
AskUni,real student reviews university,meta,61,low,distrust_agents
Edvoy,study UK Pakistan,tiktok,118,medium,agent_dependency
Edvoy,study UK USA international,meta,160,medium,overwhelming_choice
Leverage Edu,study USA international student,meta,210,high,uncertainty
Leverage Edu,study abroad Nigeria,tiktok,201,high,zero_local_guidance
ApplyBoard,study abroad accepted,tiktok,175,high,not_knowing_process
Leverage Edu,study abroad counselor,meta,210,high,uncertainty
Leverage Edu,study abroad family,meta,180,high,family_pressure
Edvoy,study abroad platform,meta,160,medium,overwhelming_choice
Edvoy,university application help,meta,160,medium,overwhelming_choice
Admissions Coach,what is Common App,tiktok,132,medium,process_ignorance
Leverage Edu,which university should I apply,meta,145,medium,information_asymmetry
